intake	0E8A16
bug	D93F0B
sprint	1D76DB
sprint-child	1ABC9C	Applied to a sprint's task-breakdown children on open; doesn't change when the sprint closes
planning	5319E7
sprint-planning	5319E7
task	7057FF
qa	FBCA04
qa-request	FBCA04
production	D93F0B
release	B60205
approval	0E8A16
ready-for-deploy	0E8A16
declined	B60205
risk	B60205
delivery-ops-filed	D6336C	Filed automatically by Delivery OS automation or its Claude Code skill — not typed by a human
qa-rollup	C5DEF5	The rolling QA issue: one open list of changes awaiting QA approval
